t_t_e_1s,t_t_e_2s,t_t_e_1m,t_t_e_2m,t_t_e_3m,t_t_e_6m,t_t_e_9m,t_t_e_12m,date,t_t_p_1s,t_t_p_2s,t_t_p_1m,t_t_p_2m,t_t_p_3m,t_t_p_6m,t_t_p_9m,t_t_p_12m,bid eur,ask eur,bid usd,ask usd,t_e_e_1s,t_e_e_1m,t_e_e_2m,t_e_e_3m,t_e_e_6m,t_e_e_12m,t_e_p_1s,t_e_p_1m,t_e_p_2m,t_e_p_3m,t_e_p_6m,t_e_p_12m,t_u_e_1s,t_u_e_1m,t_u_e_2m,t_u_e_3m,t_u_e_6m,t_u_e_12m,t_u_p_1s,t_u_p_1m,t_u_p_2m,t_u_p_3m,t_u_p_6m,t_u_p_12m
7.5043040420430085,7.68430404204301,7.914304042043009,8.19430404204301,8.43430404204301,8.62430404204301,8.84430404204301,9.154304042043009,2019-11-26,6.5043040420430085,6.68430404204301,6.914304042043009,7.19430404204301,7.43430404204301,7.6243040420430095,7.84430404204301,8.154304042043009,3.1405,3.1705,2.8436,2.8566,-0.54243,-0.5011399999999999,-0.46143,-0.43528999999999995,-0.39829000000000003,-0.29270999999999997,-1.54243,-1.50114,-1.46143,-1.43529,-1.39829,-1.29271,1.5981299999999998,1.70163,1.8436299999999999,1.9086299999999998,1.91425,1.94163,0.5981299999999998,0.70163,0.8436299999999999,0.9086299999999998,0.91425,0.94163
9.34417288745156,9.524172887451561,9.75417288745156,10.034172887451561,10.274172887451561,10.46417288745156,10.684172887451561,10.99417288745156,2019-11-25,8.34417288745156,8.524172887451561,8.75417288745156,9.034172887451561,9.274172887451561,9.46417288745156,9.684172887451561,9.99417288745156,3.1342,3.1642,2.8458,2.8588,-0.54671,-0.5028600000000001,-0.46629,-0.442,-0.398,-0.29843000000000003,-1.54671,-1.50286,-1.4662899999999999,-1.442,-1.3980000000000001,-1.29843,1.597,1.6995,1.842,1.9186299999999998,1.91913,1.94175,0.597,0.6995,0.8420000000000001,0.9186299999999998,0.91913,0.9417500000000001
9.030376377138623,9.210376377138624,9.440376377138623,9.720376377138624,9.960376377138624,10.150376377138624,10.370376377138625,10.680376377138623,2019-11-22,8.030376377138623,8.210376377138624,8.440376377138623,8.720376377138624,8.960376377138624,9.150376377138624,9.370376377138625,9.680376377138623,3.1347,3.1647,2.8436,2.8566,-0.546,-0.50071,-0.46471,-0.445,-0.39943,-0.2924,-1.546,-1.50071,-1.46471,-1.445,-1.39943,-1.2924,1.58975,1.70275,1.83675,1.91725,1.90725,1.91488,0.58975,0.70275,0.8367500000000001,0.9172499999999999,0.9072499999999999,0.9148799999999999
8.299430789887163,8.479430789887164,8.709430789887163,8.989430789887164,9.229430789887164,9.419430789887164,9.639430789887165,9.949430789887163,2019-11-21,7.299430789887163,7.479430789887164,7.709430789887163,7.989430789887164,8.229430789887164,8.419430789887164,8.639430789887165,8.949430789887163,3.153,3.1830000000000003,2.8514,2.8644,-0.54486,-0.50043,-0.46757,-0.44614,-0.40143,-0.29529,-1.54486,-1.5004300000000002,-1.46757,-1.44614,-1.40143,-1.29529,1.584,1.708,1.841,1.9095,1.8935,1.9086299999999998,0.5840000000000001,0.708,0.841,0.9095,0.8935,0.9086299999999998
6.772787586920936,6.9527875869209375,7.182787586920936,7.462787586920937,7.7027875869209375,7.892787586920937,8.112787586920938,8.422787586920936,2019-11-20,5.772787586920936,5.9527875869209375,6.182787586920936,6.462787586920937,6.7027875869209375,6.892787586920937,7.112787586920938,7.422787586920936,3.1543,3.1843,2.8487,2.8617,-0.546,-0.50057,-0.47043,-0.448,-0.39629000000000003,-0.29470999999999997,-1.546,-1.50057,-1.47043,-1.448,-1.39629,-1.29471,1.58475,1.71563,1.8335,1.89875,1.89113,1.90925,0.5847500000000001,0.71563,0.8334999999999999,0.8987499999999999,0.89113,0.9092499999999999
8.802669890776897,8.982669890776899,9.212669890776898,9.492669890776899,9.732669890776899,9.922669890776898,10.142669890776899,10.452669890776898,2019-11-19,7.802669890776897,7.982669890776899,8.212669890776898,8.492669890776899,8.732669890776899,8.922669890776898,9.142669890776899,9.452669890776898,3.1503,3.1803,2.8434,2.8564,-0.54343,-0.5011399999999999,-0.47,-0.44743,-0.39714,-0.29157,-1.5434299999999999,-1.50114,-1.47,-1.44743,-1.39714,-1.29157,1.58775,1.72163,1.83675,1.89463,1.907,1.94163,0.58775,0.72163,0.8367500000000001,0.89463,0.907,0.94163
9.404489941930315,9.584489941930318,9.814489941930315,10.094489941930316,10.334489941930318,10.524489941930316,10.744489941930318,11.054489941930317,2019-11-18,8.404489941930315,8.584489941930318,8.814489941930315,9.094489941930316,9.334489941930318,9.524489941930316,9.744489941930318,10.054489941930317,3.1389,3.1689,2.835,2.848,-0.54586,-0.50343,-0.46043,-0.43986000000000003,-0.39686,-0.29314,-1.54586,-1.50343,-1.4604300000000001,-1.43986,-1.39686,-1.29314,1.591,1.72363,1.836,1.8985,1.91888,1.95338,0.591,0.72363,0.8360000000000001,0.8985000000000001,0.9188799999999999,0.9533799999999999
9.604429062998753,9.784429062998754,10.014429062998753,10.294429062998754,10.534429062998754,10.724429062998754,10.944429062998754,11.254429062998753,2019-11-15,8.604429062998753,8.784429062998754,9.014429062998753,9.294429062998754,9.534429062998754,9.724429062998754,9.944429062998754,10.254429062998753,3.1441,3.1741,2.8449,2.8579,-0.54443,-0.50257,-0.46113999999999994,-0.43656999999999996,-0.39486,-0.29743,-1.54443,-1.50257,-1.4611399999999999,-1.43657,-1.39486,-1.29743,1.57913,1.73325,1.8325,1.9026299999999998,1.9185,1.961,0.5791299999999999,0.73325,0.8325,0.9026299999999998,0.9185000000000001,0.9610000000000001
7.727269658732202,7.907269658732203,8.137269658732203,8.417269658732204,8.657269658732204,8.847269658732204,9.067269658732204,9.377269658732203,2019-11-14,6.727269658732202,6.907269658732203,7.137269658732203,7.417269658732204,7.657269658732204,7.847269658732204,8.067269658732204,8.377269658732203,3.1347,3.1647,2.8438,2.8568,-0.54314,-0.50229,-0.46243,-0.43571000000000004,-0.39414,-0.29757,-1.54314,-1.50229,-1.46243,-1.43571,-1.39414,-1.29757,1.5808799999999998,1.7625,1.84075,1.9041299999999999,1.92163,1.9711299999999998,0.5808799999999998,0.7625,0.8407500000000001,0.9041299999999999,0.92163,0.9711299999999998
7.604753236386791,7.784753236386792,8.014753236386792,8.294753236386793,8.534753236386793,8.724753236386793,8.944753236386793,9.254753236386792,2019-11-13,6.604753236386791,6.784753236386792,7.014753236386792,7.294753236386793,7.534753236386793,7.724753236386793,7.944753236386793,8.254753236386792,3.1409,3.1709,2.8535,2.8665,-0.54486,-0.50157,-0.46229,-0.437,-0.395,-0.297,-1.54486,-1.50157,-1.4622899999999999,-1.437,-1.395,-1.297,1.59863,1.76538,1.84575,1.90988,1.92225,1.987,0.59863,0.76538,0.84575,0.90988,0.92225,0.9870000000000001
9.526540951603433,9.706540951603435,9.936540951603433,10.216540951603434,10.456540951603435,10.646540951603434,10.866540951603435,11.176540951603434,2019-11-11,8.526540951603433,8.706540951603435,8.936540951603433,9.216540951603434,9.456540951603435,9.646540951603434,9.866540951603435,10.176540951603434,3.1436,3.1736,2.8493,2.8623,-0.544,-0.50471,-0.46,-0.43714,-0.39086,-0.29214,-1.544,-1.50471,-1.46,-1.4371399999999999,-1.39086,-1.29214,1.60638,1.76325,1.8385,1.9046299999999998,1.923,1.99413,0.6063799999999999,0.76325,0.8385,0.9046299999999998,0.923,0.99413
7.112663679216721,7.292663679216722,7.522663679216721,7.802663679216722,8.042663679216721,8.23266367921672,8.452663679216721,8.76266367921672,2019-11-10,6.112663679216721,6.292663679216722,6.522663679216721,6.802663679216722,7.042663679216721,7.232663679216721,7.452663679216721,7.76266367921672,3.1319,3.1619,2.8364,2.8493999999999997,-0.55971,-0.5181399999999999,-0.45757,-0.44014,-0.41628999999999994,-0.34643,-1.55971,-1.5181399999999998,-1.45757,-1.44014,-1.41629,-1.34643,1.86575,1.9135,1.9746299999999999,2.00088,1.97563,1.9555,0.86575,0.9135,0.9746299999999999,1.00088,0.97563,0.9555
8.656026186746317,8.836026186746318,9.066026186746317,9.346026186746318,9.586026186746318,9.776026186746318,9.996026186746318,10.306026186746317,2019-11-09,7.656026186746317,7.836026186746318,8.066026186746317,8.346026186746318,8.586026186746318,8.776026186746318,8.996026186746318,9.306026186746317,3.1614,3.1914,2.8714,2.8844,-0.48328999999999994,-0.51371,-0.49186,-0.46213999999999994,-0.45428999999999997,-0.385,-1.48329,-1.51371,-1.49186,-1.46214,-1.4542899999999999,-1.385,2.10425,2.03588,2.12425,2.12725,2.05288,2.00863,1.10425,1.0358800000000001,1.12425,1.12725,1.05288,1.0086300000000001
7.434120425047017,7.614120425047019,7.844120425047017,8.12412042504702,8.36412042504702,8.554120425047019,8.77412042504702,9.084120425047018,2019-11-07,6.434120425047017,6.614120425047019,6.844120425047017,7.124120425047019,7.36412042504702,7.554120425047019,7.77412042504702,8.084120425047018,3.2474,3.2774,2.8855,2.8985,-0.45056999999999997,-0.43186,-0.41913999999999996,-0.40486,-0.39429000000000003,-0.31071,-1.45057,-1.43186,-1.41914,-1.40486,-1.39429,-1.31071,2.37475,2.325,2.32475,2.3033799999999998,2.21263,2.19325,1.3747500000000001,1.3250000000000002,1.3247499999999999,1.3033799999999998,1.2126299999999999,1.19325
9.138314213125712,9.318314213125714,9.548314213125712,9.828314213125713,10.068314213125714,10.258314213125713,10.478314213125714,10.788314213125712,2019-11-06,8.138314213125712,8.318314213125714,8.548314213125712,8.828314213125713,9.068314213125714,9.258314213125713,9.478314213125714,9.788314213125712,3.3569,3.3869,2.9625,2.9755,-0.44486000000000003,-0.418,-0.38471,-0.36414,-0.32556999999999997,-0.232,-1.44486,-1.418,-1.38471,-1.36414,-1.32557,-1.232,2.3755,2.41063,2.4283799999999998,2.4495,2.352,2.34325,1.3755000000000002,1.4106299999999998,1.4283799999999998,1.4495,1.3519999999999999,1.3432499999999998
8.68426141897673,8.864261418976731,9.09426141897673,9.374261418976731,9.614261418976731,9.804261418976731,10.024261418976732,10.33426141897673,2019-11-04,7.68426141897673,7.8642614189767315,8.09426141897673,8.374261418976731,8.614261418976731,8.804261418976731,9.024261418976732,9.33426141897673,3.3789999999999996,3.409,3.0029,3.0159,-0.43943000000000004,-0.41686000000000006,-0.37443000000000004,-0.34857,-0.31071,-0.20514000000000002,-1.43943,-1.41686,-1.37443,-1.34857,-1.31071,-1.20514,2.40775,2.47263,2.53675,2.59675,2.63125,2.73413,1.40775,1.47263,1.53675,1.5967500000000001,1.63125,1.73413
9.17747446739744,9.357474467397441,9.58747446739744,9.867474467397441,10.107474467397441,10.297474467397441,10.517474467397442,10.82747446739744,2019-11-03,8.17747446739744,8.357474467397441,8.58747446739744,8.867474467397441,9.107474467397441,9.297474467397441,9.517474467397442,9.82747446739744,3.4021,3.4321,3.0242,3.0372,-0.44728999999999997,-0.41257,-0.37114,-0.32986,-0.298,-0.17386,-1.44729,-1.41257,-1.37114,-1.32986,-1.298,-1.17386,2.40375,2.4988799999999998,2.5715,2.60825,2.67925,2.869,1.40375,1.4988799999999998,1.5715,1.60825,1.6792500000000001,1.8690000000000002
9.114415545913594,9.294415545913596,9.524415545913595,9.804415545913596,10.044415545913596,10.234415545913595,10.454415545913596,10.764415545913595,2019-11-02,8.114415545913594,8.294415545913596,8.524415545913595,8.804415545913596,9.044415545913596,9.234415545913595,9.454415545913596,9.764415545913595,3.4501,3.4801,3.0598,3.0728,-0.445,-0.41757,-0.36229,-0.33357,-0.29614,-0.17786,-1.445,-1.41757,-1.36229,-1.33357,-1.29614,-1.17786,2.40813,2.49788,2.5855,2.688,2.73363,2.92425,1.4081299999999999,1.4978799999999999,1.5855000000000001,1.6880000000000002,1.7336299999999998,1.9242499999999998
